escola_id;codigo_sala;descricao;created_at;updated_at
2;10;Sala Geral;;
2;11;Sala Geral;;
2;12;Sala de História;;
2;13;Sala Geral;;
2;14;Sala de Música;;
2;15;Sala de EVT;;
2;16;Sala de Educação Tecnológica;;
2;17;Laboratório de CN;;
2;18;Laboratório de CN;;
2;19;Sala de Matemática;;
2;20;Sala Geral;;
2;21;Sala de Matemática;;
2;22;Sala Geral;;
2;23;Sala Geral;;
2;24;Sala Geral;;
2;25;Sala Geral;;
2;4;Laboratório de FQ;;
2;5;Sala de Educação Visual;;
2;6;Sala de Teatro;;
2;7;Sala de Educação Física;;
2;8;Sala Geral;;
2;9;Sala Geral;;
2;AO;Atividades Ocupacionais;;
1;Audit;Grandes Grupos;;
5;BE - NAP;Biblioteca Escolar - EB D. Nuno Álvares Perei;;
3;BE M;Biblioteca Escolar - EB de Miratejo;;
2;Bib;Biblioteca;;
1;BibJB;Biblioteca ESJB;;
1;C001;Sala Informática (28);;
1;C002;Sala Informática (28);;
1;C003;Sala Informática (28);;
1;C004;Sala Informática (28);;
1;C005;Clube de informática;;
1;C006;Sala Informática (28);;
1;C011;Sala Geral (28);;
1;C012;Sala Geral (28);;
1;C013;Sala Geral (28);;
1;C014;Sala Geral (28);;
1;C015;Sala Geral (28);;
2;C1;Campo de EF;;
1;C101;Sala Geral (1ºandar) (28);;
1;C102;Sala Geral (1ºandar) (28);;
1;C103;Sala Geral (1ºandar) (28);;
1;C104;Sala Geral (1ºandar) (28);;
1;C105;Sala Dep. Línguas (14);;
1;C106;Clube de Línguas (10);;
1;C107;Sala Geral (1ºandar) (28);;
1;C108;Sala Geral (1ºandar) (28);;
1;C111;Sala Geral (1ºandar) (28);;
1;C112;Sala Geral (1ºandar) (28);;
1;C113;Sala Geral (1ºandar) (28);;
1;C114;Sala Dep. C.S.H. (14);;
1;C115;Sala Geral (1ºandar) (28);;
1;C116;Sala Geral (1ºandar) (28);;
1;C117;Sala Geral (1ºandar) (28);;
2;C2;Campo de EF;;
2;CAA;;;
4;CAA JA;Sala CAA - EB José Afonso;;
3;CAA M;Sala CAA - EB de Miratejo;;
1;D002;Sala de Apoio à Valência e Apoios educativos;;
1;D003;Sala Informática (28);;
1;D005;Sala Eletrónica/Geral (28);;
1;D006;Sala Geral (28);;
1;D007;Sala Eletrónica/Informática (28);;
1;D010;Sala Ed. Tecnológica / Geral (28);;
1;D011;Sala Geometria Descritiva / EV (33);;
1;D012;Sala Apoios (10);;
1;D014;Sala Teatro (50);;
1;D015;Sala Exp. Plásticas / EV (28);;
1;D103;Sala Geral (1ºandar) (28);;
1;D104;Sala Geral (1ºandar) (28);;
1;D105;Sala Geral (1ºandar) (28);;
1;D106;Sala Dep. Expressões (14);;
1;D107;Sala Geral (1ºandar) (28);;
1;D108;Sala Geral (1ºandar) (28);;
1;D109;Sala Geral (1ºandar) (28);;
1;D110;Sala Grandes Grupos Geral (1ºandar) (54);;
1;D111;Sala Desenho (28);;
1;D112;Sala Ed. Musical / Geral (33);;
2;DT;Sala de Diretores de turma;;
1;DTJ;Diretor de Turma;;
1;E005;Laboratório Polivalente;;
1;E007;Gabinete Matemática;;
1;E009;Gabinete Química;;
1;E010;Laboratório de Química;;
1;E012;Laboratório de Física;;
1;E014;Gabinete Física;;
1;E015;CAA;;
1;E101;Work Lab;;
1;E104;Sala Geral (1ºandar) (28);;
1;E105;Sala Geral (1ºandar) (28);;
1;E106;Sala Geral (1ºandar) (28);;
1;E108;Gabinete Biologia;;
1;E109;Laboratório Biologia;;
1;E111;Laboratório de Geologia;;
1;E113;Gabiniete Geologia;;
1;E114;Sala Geral CN (1ºandar) (28);;
1;E115;Sala Geral CFQ (1ºandar) (28);;
1;EF;Educação Física;;
1;EF-ST;EF - Sala Trabalho;;
2;GEE;Gabinete do Ensino Especial;;
1;GEE JB;Gabinete de Ensino Especial;;
2;Gest;Gabinete de Estudo;;
4;Gin. JA;Ginásio - EB JA;;
3;Gin. M;Ginásio EB 1.º ciclo e pré  M;;
5;Gin.NAP;Ginásio 1.º ciclo e pré NAP;;
2;Ginasio;Ginasio;;
2;GMP;Gabinete de Mediação Pedagógica;;
1;GPLNM;Gabinete de PLNM (Bloco A);;
2;Gpsi;Gabinente de Psicologia;;
2;Inf1;Sala de Informática;;
2;Inf2;Sala de Informática;;
1;Online 1;Sala para Reuniões Online - JB;;
1;Online 2;Sala para Reuniões Online - JB;;
2;Online 3;Sala para Reuniões Online - Básica;;
1;online 4;Sala para reuniões Online JB;;
1;Online 5;Sala para reuniões Online -JB;;
2;Online 6;Sala para reuniões Online - Básica;;
2;Online 7;Sala para reuniões Online - Básica;;
2;Online 8;Sala para reuniões Online - Básica;;
2;online 9;Sala para reuniões Online - JB;;
1;Online10;Sala para reuniões Online - Básica;;
1;Poli;Sala Multimédia (28);;
4;S 1 JA;Sala 1 - EB José Afonso - 2.º AJ;;
3;S 1 M;Sala 1 EB de Miratejo;;
5;S 1 NAP;Sala pré-escolar;;
3;S 10 M;Sala 10 - EB de Miratejo;;
3;S 11 M;Sala 11 - EB de Miratejo;;
3;S 2 M;Sala 2 - EB de Miratejo;;
5;S 2 NAP;"Sala 4.º AN ; 3.º/4.º AN";;
4;S 3 JA;Sala 3 -  EB José Afonso - 1.º AJ;;
3;S 3 M;Sala 3 - EB de Miratejo;;
5;S 3 NAP;"Sala 3.º AN ; 2.º BN";;
4;S 4 JA;Sala 4 - EB José Afonso 3.º/4.º AJ e 4.º AJ;;
3;S 4 M;Sala 4 - EB de Miratejo;;
5;S 4 NAP;Sala 2.º AN;;
3;S 5 M;Sala 5 - EB de Miratejo;;
5;S 5 NAP;Sala 1.º AN;;
3;S 6 M;Sala 6 - EB de Miratejo;;
3;S 9 M;Sala 9 - EB de Miratejo;;
1;S.Prof.;Ocupação;;
3;S12 M;Sala 12 - EB de Miratejo;;
2;SE;Sala de Estudo;;
2;SMult;Sala de Multideficiência;;
1;SPoliv;Sala Polivalente;;
2;ST;Sala de trabalho;;
1;STJ;DT;;
